address,size,source,symbol,module,subsystem,provenance
0x0044123C,0x0C,src/savedata/box_accessors.cpp,_ZN8Savedata3BOX12SetWallPaperEjj,static.crs,box,RETAIL_ORIGINAL_SYMBOL
0x004A786C,0x08,src/savedata/box_accessors.cpp,_ZNK8Savedata3BOX10GetTrayMaxEv,static.crs,box,RETAIL_ORIGINAL_SYMBOL
0x004A7964,0x18,src/savedata/box_accessors.cpp,_ZNK8Savedata3BOX11GetTeamNameEj,static.crs,box,RETAIL_ORIGINAL_SYMBOL
0x004A797C,0x10,src/savedata/box_accessors.cpp,_ZNK8Savedata3BOX11GetTrayNameEj,static.crs,box,RETAIL_ORIGINAL_SYMBOL
0x004A798C,0x2C,src/savedata/box_accessors.cpp,_ZNK8Savedata3BOX12GetTrayLevelEv,static.crs,box,RETAIL_ORIGINAL_SYMBOL
0x004A79B8,0x0C,src/savedata/box_accessors.cpp,_ZNK8Savedata3BOX12GetWallPaperEj,static.crs,box,RETAIL_ORIGINAL_SYMBOL
0x004A7A10,0x08,src/savedata/box_accessors.cpp,_ZNK8Savedata3BOX14GetCurrentTrayEv,static.crs,box,RETAIL_ORIGINAL_SYMBOL
0x00445C14,0x08,src/savedata/situation_accessors.cpp,_ZN8Savedata9Situation13SetLastZoneIDEt,static.crs,egg,RETAIL_ORIGINAL_SYMBOL
0x00445C1C,0x08,src/savedata/situation_accessors.cpp,_ZN8Savedata9Situation15SetEggStepCountEj,static.crs,egg,RETAIL_ORIGINAL_SYMBOL
0x00445C24,0x08,src/savedata/situation_accessors.cpp,_ZN8Savedata9Situation16GetStartLocationEv,static.crs,egg,RETAIL_ORIGINAL_SYMBOL
0x00445C2C,0x08,src/savedata/situation_accessors.cpp,_ZN8Savedata9Situation18GetSpecialLocationEv,static.crs,egg,RETAIL_ORIGINAL_SYMBOL
0x00445C34,0x08,src/savedata/situation_accessors.cpp,_ZN8Savedata9Situation20SetFriendlyStepCountEt,static.crs,egg,RETAIL_ORIGINAL_SYMBOL
0x00445C3C,0x08,src/savedata/situation_accessors.cpp,_ZN8Savedata9Situation21SetKawaigariStepCountEt,static.crs,egg,RETAIL_ORIGINAL_SYMBOL
0x004A8B78,0x08,src/savedata/situation_accessors.cpp,_ZNK8Savedata9Situation13GetLastZoneIDEv,static.crs,egg,RETAIL_ORIGINAL_SYMBOL
0x004A8B80,0x08,src/savedata/situation_accessors.cpp,_ZNK8Savedata9Situation15GetEggStepCountEv,static.crs,egg,RETAIL_ORIGINAL_SYMBOL
0x004A8B88,0x08,src/savedata/situation_accessors.cpp,_ZNK8Savedata9Situation20GetFriendlyStepCountEv,static.crs,egg,RETAIL_ORIGINAL_SYMBOL
0x004A8B90,0x08,src/savedata/situation_accessors.cpp,_ZNK8Savedata9Situation21GetKawaigariStepCountEv,static.crs,egg,RETAIL_ORIGINAL_SYMBOL
0x004A8B98,0x10,src/savedata/situation_accessors.cpp,_ZNK8Savedata9Situation22HasWarpContinueRequestEv,static.crs,egg,RETAIL_ORIGINAL_SYMBOL
