address,size,source,symbol,module,subsystem,provenance,object,compile_status,asm_status,generated_size,matched_bytes,compared_bytes,first_difference,details
0x0044123C,0x0C,src/savedata/box_accessors.cpp,_ZN8Savedata3BOX12SetWallPaperEjj,static.crs,box,RETAIL_ORIGINAL_SYMBOL,.decomp/phase3/objects/box_accessors.o,COMPILES,ASM_MATCH,12,12,12,,symbol: _ZN8Savedata3BOX12SetWallPaperEjj | address: 0x0044123C | size: 0xC | matching bytes: 12/12 | exact match: yes
0x004A786C,0x08,src/savedata/box_accessors.cpp,_ZNK8Savedata3BOX10GetTrayMaxEv,static.crs,box,RETAIL_ORIGINAL_SYMBOL,.decomp/phase3/objects/box_accessors.o,COMPILES,ASM_MATCH,8,8,8,,symbol: _ZNK8Savedata3BOX10GetTrayMaxEv | address: 0x004A786C | size: 0x8 | matching bytes: 8/8 | exact match: yes
0x004A7964,0x18,src/savedata/box_accessors.cpp,_ZNK8Savedata3BOX11GetTeamNameEj,static.crs,box,RETAIL_ORIGINAL_SYMBOL,.decomp/phase3/objects/box_accessors.o,COMPILES,ASM_DIFFERENT,24,17,24,+0x1,symbol: _ZNK8Savedata3BOX11GetTeamNameEj | address: 0x004A7964 | size: 0x18 | matching bytes: 17/24 | exact match: no | first difference: +0x1
0x004A797C,0x10,src/savedata/box_accessors.cpp,_ZNK8Savedata3BOX11GetTrayNameEj,static.crs,box,RETAIL_ORIGINAL_SYMBOL,.decomp/phase3/objects/box_accessors.o,COMPILES,ASM_MATCH,16,16,16,,symbol: _ZNK8Savedata3BOX11GetTrayNameEj | address: 0x004A797C | size: 0x10 | matching bytes: 16/16 | exact match: yes
0x004A798C,0x2C,src/savedata/box_accessors.cpp,_ZNK8Savedata3BOX12GetTrayLevelEv,static.crs,box,RETAIL_ORIGINAL_SYMBOL,.decomp/phase3/objects/box_accessors.o,COMPILES,ASM_DIFFERENT,36,7,36,+0x1,symbol: _ZNK8Savedata3BOX12GetTrayLevelEv | address: 0x004A798C | size: 0x24 | matching bytes: 7/36 | exact match: no | first difference: +0x1
0x004A79B8,0x0C,src/savedata/box_accessors.cpp,_ZNK8Savedata3BOX12GetWallPaperEj,static.crs,box,RETAIL_ORIGINAL_SYMBOL,.decomp/phase3/objects/box_accessors.o,COMPILES,ASM_MATCH,12,12,12,,symbol: _ZNK8Savedata3BOX12GetWallPaperEj | address: 0x004A79B8 | size: 0xC | matching bytes: 12/12 | exact match: yes
0x004A7A10,0x08,src/savedata/box_accessors.cpp,_ZNK8Savedata3BOX14GetCurrentTrayEv,static.crs,box,RETAIL_ORIGINAL_SYMBOL,.decomp/phase3/objects/box_accessors.o,COMPILES,ASM_MATCH,8,8,8,,symbol: _ZNK8Savedata3BOX14GetCurrentTrayEv | address: 0x004A7A10 | size: 0x8 | matching bytes: 8/8 | exact match: yes
0x00445C14,0x08,src/savedata/situation_accessors.cpp,_ZN8Savedata9Situation13SetLastZoneIDEt,static.crs,egg,RETAIL_ORIGINAL_SYMBOL,.decomp/phase3/objects/situation_accessors.o,COMPILES,ASM_MATCH,8,8,8,,symbol: _ZN8Savedata9Situation13SetLastZoneIDEt | address: 0x00445C14 | size: 0x8 | matching bytes: 8/8 | exact match: yes
0x00445C1C,0x08,src/savedata/situation_accessors.cpp,_ZN8Savedata9Situation15SetEggStepCountEj,static.crs,egg,RETAIL_ORIGINAL_SYMBOL,.decomp/phase3/objects/situation_accessors.o,COMPILES,ASM_MATCH,8,8,8,,symbol: _ZN8Savedata9Situation15SetEggStepCountEj | address: 0x00445C1C | size: 0x8 | matching bytes: 8/8 | exact match: yes
0x00445C24,0x08,src/savedata/situation_accessors.cpp,_ZN8Savedata9Situation16GetStartLocationEv,static.crs,egg,RETAIL_ORIGINAL_SYMBOL,.decomp/phase3/objects/situation_accessors.o,COMPILES,ASM_MATCH,8,8,8,,symbol: _ZN8Savedata9Situation16GetStartLocationEv | address: 0x00445C24 | size: 0x8 | matching bytes: 8/8 | exact match: yes
