address,current_name,qualified_name,namespace,module,memory_block,size,instruction_count,basic_block_count,caller_count,callee_count,prototype,return_type,strings_referenced,known_symbols_referenced,globals_referenced,vtable_relationship,rtti_relationship,symbol_source,signature_source,is_thunk,thunk_target,unknown_type_count,indirect_call_count,switch_count,loop_count,body_sha256,mnemonic_sha256,provenance,confidence,evidence_type,source_exists,source_file,source_status,compile_status,semantic_status,asm_status,runtime_status,subsystem,code_family,difficulty_score,tier,score_rationale,subsystem_priority,queue_rank
0x0031804C,~EvolveManager,pml::pokepara::EvolveManager::~EvolveManager,pml::pokepara::EvolveManager,static.crs,.text,4,1,1,0,0,undefined __thiscall ~EvolveManager(void),undefined,,,,,,ANALYSIS,ANALYSIS,false,,1,0,0,0,379bec29dccd0a93c94826144d7ef6e42fab64ef195a3b8313a16926f66f388f,ff304d19e8233ac9117fef9eb247a8fb4751f5f6a6237a41ccc13440f8c6cda4,RETAIL_ORIGINAL_SYMBOL,ORIGINAL_EXPORT,retail CRO0 named export table,false,,,,,,,,GAME,0,TIER_0,size=4; blocks=1; calls=0; unknown_types=1; original_symbol,0,1
0x0031E054,~PokemonParam,pml::pokepara::PokemonParam::~PokemonParam,pml::pokepara::PokemonParam,static.crs,.text,4,1,1,6,0,PokemonParam * __thiscall ~PokemonParam(void),PokemonParam *,,,,,,ANALYSIS,ANALYSIS,false,,0,0,0,0,71b1548a3867fe8e62a860f8010becb36b0386c9e97d552809cebccb9d93881d,dcd4108de81a2858f090b68125a8291e212ef2feceeeaa583a2c9e559966cb28,RETAIL_ORIGINAL_SYMBOL,ORIGINAL_EXPORT,retail CRO0 named export table,false,,,,,,,,GAME,0,TIER_0,size=4; blocks=1; calls=0; original_symbol,0,2
0x00492724,Serialize_Core,pml::pokepara::PokemonParam::Serialize_Core,pml::pokepara::PokemonParam,static.crs,.text,4,1,1,7,0,undefined __cdecl Serialize_Core(int param_1),undefined,,,,,,ANALYSIS,ANALYSIS,false,,1,0,0,0,71b1548a3867fe8e62a860f8010becb36b0386c9e97d552809cebccb9d93881d,dcd4108de81a2858f090b68125a8291e212ef2feceeeaa583a2c9e559966cb28,RETAIL_ORIGINAL_SYMBOL,ORIGINAL_EXPORT,retail CRO0 named export table,false,,,,,,,,GAME,0,TIER_0,size=4; blocks=1; calls=0; unknown_types=1; original_symbol,0,3
0x00464D10,GetLastRecvPokemonParam,NetAppLib::P2PTrade::P2PTradeRequestClient::GetLastRecvPokemonParam,NetAppLib::P2PTrade::P2PTradeRequestClient,static.crs,.text,8,2,1,0,0,P2PTradeRequestClient * __thiscall GetLastRecvPokemonParam(void),P2PTradeRequestClient *,,,DAT_00002180,,,ANALYSIS,ANALYSIS,false,,0,0,0,0,551b16ea599f43560407ac54d6c823a2a8ff68eca9fa1a430fa4254d0b5bcd6a,bbbfbbd3a54ae4d74df8a464d07f5ca49497fe3ef5d6af58dd0b9fadd9172f53,RETAIL_ORIGINAL_SYMBOL,ORIGINAL_EXPORT,retail CRO0 named export table,false,,,,,,,,GAME,0,TIER_0,size=8; blocks=1; calls=0; original_symbol,0,4
0x00490AF4,IsMegaEvolved,pml::pokepara::CoreParam::IsMegaEvolved,pml::pokepara::CoreParam,static.crs,.text,8,2,1,1,0,undefined4 __thiscall IsMegaEvolved(void),undefined4,,,,,,ANALYSIS,ANALYSIS,false,,1,0,0,0,fd8b78e157984b17547a0b69645e729bdfd00b9c382af6b443e7e31bf6224409,bf586798651469928ca0568516b62cba9685fa9c18d98b838e6875b6c151718a,RETAIL_ORIGINAL_SYMBOL,ORIGINAL_EXPORT,retail CRO0 named export table,false,,,,,,,,GAME,0,TIER_0,size=8; blocks=1; calls=0; unknown_types=1; original_symbol,0,5
0x00491008,GetTokuseiNo,pml::pokepara::CoreParam::GetTokuseiNo,pml::pokepara::CoreParam,static.crs,.text,8,2,1,2,0,undefined1 __thiscall GetTokuseiNo(void),undefined1,,,,,,ANALYSIS,ANALYSIS,false,,1,0,0,0,fd8b78e157984b17547a0b69645e729bdfd00b9c382af6b443e7e31bf6224409,bf586798651469928ca0568516b62cba9685fa9c18d98b838e6875b6c151718a,RETAIL_ORIGINAL_SYMBOL,ORIGINAL_EXPORT,retail CRO0 named export table,false,,,,,,,,GAME,0,TIER_0,size=8; blocks=1; calls=0; unknown_types=1; original_symbol,0,6
0x0049104C,HaveNickName,pml::pokepara::CoreParam::HaveNickName,pml::pokepara::CoreParam,static.crs,.text,8,2,1,1,0,uint __thiscall HaveNickName(void),uint,,,,,,ANALYSIS,ANALYSIS,false,,0,0,0,0,fd8b78e157984b17547a0b69645e729bdfd00b9c382af6b443e7e31bf6224409,bf586798651469928ca0568516b62cba9685fa9c18d98b838e6875b6c151718a,RETAIL_ORIGINAL_SYMBOL,ORIGINAL_EXPORT,retail CRO0 named export table,false,,,,,,,,GAME,0,TIER_0,size=8; blocks=1; calls=0; original_symbol,0,7
0x004911B4,GetFamiliarity,pml::pokepara::CoreParam::GetFamiliarity,pml::pokepara::CoreParam,static.crs,.text,8,2,1,3,0,undefined1 __thiscall GetFamiliarity(void),undefined1,,,,,,ANALYSIS,ANALYSIS,false,,1,0,0,0,fd8b78e157984b17547a0b69645e729bdfd00b9c382af6b443e7e31bf6224409,bf586798651469928ca0568516b62cba9685fa9c18d98b838e6875b6c151718a,RETAIL_ORIGINAL_SYMBOL,ORIGINAL_EXPORT,retail CRO0 named export table,false,,,,,,,,GAME,0,TIER_0,size=8; blocks=1; calls=0; unknown_types=1; original_symbol,0,8
0x004914B0,GetNadenadeValue,pml::pokepara::CoreParam::GetNadenadeValue,pml::pokepara::CoreParam,static.crs,.text,8,2,1,0,0,undefined1 __thiscall GetNadenadeValue(void),undefined1,,,,,,ANALYSIS,ANALYSIS,false,,1,0,0,0,fd8b78e157984b17547a0b69645e729bdfd00b9c382af6b443e7e31bf6224409,bf586798651469928ca0568516b62cba9685fa9c18d98b838e6875b6c151718a,RETAIL_ORIGINAL_SYMBOL,ORIGINAL_EXPORT,retail CRO0 named export table,false,,,,,,,,GAME,0,TIER_0,size=8; blocks=1; calls=0; unknown_types=1; original_symbol,0,9
0x00491520,GetWazaPPUpCount,pml::pokepara::CoreParam::GetWazaPPUpCount,pml::pokepara::CoreParam,static.crs,.text,8,2,1,3,0,undefined8 __thiscall GetWazaPPUpCount(uint param_1),undefined8,,,,,,ANALYSIS,ANALYSIS,false,,1,0,0,0,fd8b78e157984b17547a0b69645e729bdfd00b9c382af6b443e7e31bf6224409,bf586798651469928ca0568516b62cba9685fa9c18d98b838e6875b6c151718a,RETAIL_ORIGINAL_SYMBOL,ORIGINAL_EXPORT,retail CRO0 named export table,false,,,,,,,,GAME,0,TIER_0,size=8; blocks=1; calls=0; unknown_types=1; original_symbol,0,10
0x004919B4,GetOriginalFamiliarity,pml::pokepara::CoreParam::GetOriginalFamiliarity,pml::pokepara::CoreParam,static.crs,.text,8,2,1,0,0,undefined1 __thiscall GetOriginalFamiliarity(void),undefined1,,,,,,ANALYSIS,ANALYSIS,false,,1,0,0,0,fd8b78e157984b17547a0b69645e729bdfd00b9c382af6b443e7e31bf6224409,bf586798651469928ca0568516b62cba9685fa9c18d98b838e6875b6c151718a,RETAIL_ORIGINAL_SYMBOL,ORIGINAL_EXPORT,retail CRO0 named export table,false,,,,,,,,GAME,0,TIER_0,size=8; blocks=1; calls=0; unknown_types=1; original_symbol,0,11
0x00491A60,GetID,pml::pokepara::CoreParam::GetID,pml::pokepara::CoreParam,static.crs,.text,8,2,1,3,0,undefined4 __thiscall GetID(void),undefined4,,,,,,ANALYSIS,ANALYSIS,false,,1,0,0,0,fd8b78e157984b17547a0b69645e729bdfd00b9c382af6b443e7e31bf6224409,bf586798651469928ca0568516b62cba9685fa9c18d98b838e6875b6c151718a,RETAIL_ORIGINAL_SYMBOL,ORIGINAL_EXPORT,retail CRO0 named export table,false,,,,,,,,GAME,0,TIER_0,size=8; blocks=1; calls=0; unknown_types=1; original_symbol,0,12
0x00491A94,GetWazaPP,pml::pokepara::CoreParam::GetWazaPP,pml::pokepara::CoreParam,static.crs,.text,8,2,1,2,0,undefined8 __thiscall GetWazaPP(uint param_1),undefined8,,,,,,ANALYSIS,ANALYSIS,false,,1,0,0,0,fd8b78e157984b17547a0b69645e729bdfd00b9c382af6b443e7e31bf6224409,bf586798651469928ca0568516b62cba9685fa9c18d98b838e6875b6c151718a,RETAIL_ORIGINAL_SYMBOL,ORIGINAL_EXPORT,retail CRO0 named export table,false,,,,,,,,GAME,0,TIER_0,size=8; blocks=1; calls=0; unknown_types=1; original_symbol,0,13
0x00491BDC,GetExp,pml::pokepara::CoreParam::GetExp,pml::pokepara::CoreParam,static.crs,.text,8,2,1,1,0,undefined4 __thiscall GetExp(void),undefined4,,,,,,ANALYSIS,ANALYSIS,false,,1,0,0,0,fd8b78e157984b17547a0b69645e729bdfd00b9c382af6b443e7e31bf6224409,bf586798651469928ca0568516b62cba9685fa9c18d98b838e6875b6c151718a,RETAIL_ORIGINAL_SYMBOL,ORIGINAL_EXPORT,retail CRO0 named export table,false,,,,,,,,GAME,0,TIER_0,size=8; blocks=1; calls=0; unknown_types=1; original_symbol,0,14
0x00491C3C,GetSex,pml::pokepara::CoreParam::GetSex,pml::pokepara::CoreParam,static.crs,.text,8,2,1,18,0,uint __thiscall GetSex(void),uint,,,,,,ANALYSIS,ANALYSIS,false,,0,0,0,0,fd8b78e157984b17547a0b69645e729bdfd00b9c382af6b443e7e31bf6224409,bf586798651469928ca0568516b62cba9685fa9c18d98b838e6875b6c151718a,RETAIL_ORIGINAL_SYMBOL,ORIGINAL_EXPORT,retail CRO0 named export table,false,,,,,,,,GAME,0,TIER_0,size=8; blocks=1; calls=0; original_symbol,0,15
0x00491EF0,GetFormNo,pml::pokepara::CoreParam::GetFormNo,pml::pokepara::CoreParam,static.crs,.text,8,2,1,29,0,byte __thiscall GetFormNo(void),byte,,,,,,ANALYSIS,ANALYSIS,false,,0,0,0,0,fd8b78e157984b17547a0b69645e729bdfd00b9c382af6b443e7e31bf6224409,bf586798651469928ca0568516b62cba9685fa9c18d98b838e6875b6c151718a,RETAIL_ORIGINAL_SYMBOL,ORIGINAL_EXPORT,retail CRO0 named export table,false,,,,,,,,GAME,0,TIER_0,size=8; blocks=1; calls=0; original_symbol,0,16
0x00493638,GetWazaNo,pml::pokepara::CoreParam::GetWazaNo,pml::pokepara::CoreParam,static.crs,.text,8,2,1,6,1,"undefined8 __cdecl GetWazaNo(int param_1, uint param_2)",undefined8,,,,,,ANALYSIS,ANALYSIS,false,,1,0,0,0,ce4465ba0c2a1360f72705ad9ea4c66e72990f3a45e1c08cba217910d3c2c32d,d420f330e8cbd8b7a20fd83231f6edc4639a5301c43d14b68273cb7048d73f01,RETAIL_ORIGINAL_SYMBOL,ORIGINAL_EXPORT,retail CRO0 named export table,false,,,,,,,,GAME,0,TIER_0,size=8; blocks=1; calls=1; unknown_types=1; original_symbol,0,17
0x00318034,EvolveManager,pml::pokepara::EvolveManager::EvolveManager,pml::pokepara::EvolveManager,static.crs,.text,12,3,1,1,0,undefined __thiscall EvolveManager(void),undefined,,,DAT_006185d0,,,ANALYSIS,ANALYSIS,false,,1,0,0,0,3b6d652f39f68b54b7dc1ad26b2f5bb733b96d65e42b06966d88a6322022146f,428af8c1d03072bd86b0453348eb0a6676ca2aa963cb4e7f9fc6bcac9b927f12,RETAIL_ORIGINAL_SYMBOL,ORIGINAL_EXPORT,retail CRO0 named export table,false,,,,,,,,GAME,0,TIER_0,size=12; blocks=1; calls=0; unknown_types=1; original_symbol,0,18
0x0031AA34,RecoverSick,pml::pokepara::CoreParam::RecoverSick,pml::pokepara::CoreParam,static.crs,.text,12,3,1,2,0,undefined __thiscall RecoverSick(void),undefined,,,,,,ANALYSIS,ANALYSIS,false,,1,0,0,0,6547d3c6a7a7a25b5584cd3cdb252263b0295ec8e222466c9223a3f216bfa61d,120d068599c6519a93da30e4d3311476d36d1fce7e15d25e83b4f92cd291d490,RETAIL_ORIGINAL_SYMBOL,ORIGINAL_EXPORT,retail CRO0 named export table,false,,,,,,,,GAME,0,TIER_0,size=12; blocks=1; calls=0; unknown_types=1; original_symbol,0,19
0x0031AE94,RemoveItem,pml::pokepara::CoreParam::RemoveItem,pml::pokepara::CoreParam,static.crs,.text,12,3,1,3,0,undefined __thiscall RemoveItem(void),undefined,,,,,,ANALYSIS,ANALYSIS,false,,1,0,0,0,6547d3c6a7a7a25b5584cd3cdb252263b0295ec8e222466c9223a3f216bfa61d,120d068599c6519a93da30e4d3311476d36d1fce7e15d25e83b4f92cd291d490,RETAIL_ORIGINAL_SYMBOL,ORIGINAL_EXPORT,retail CRO0 named export table,false,,,,,,,,GAME,0,TIER_0,size=12; blocks=1; calls=0; unknown_types=1; original_symbol,0,20
0x00464D94,GetLastRecvPokemonParamBuffer,NetAppLib::P2PTrade::P2PTradeRequestClient::GetLastRecvPokemonParamBuffer,NetAppLib::P2PTrade::P2PTradeRequestClient,static.crs,.text,12,3,1,0,0,P2PTradeRequestClient * __thiscall GetLastRecvPokemonParamBuffer(void),P2PTradeRequestClient *,,,DAT_00002000,,,ANALYSIS,ANALYSIS,false,,0,0,0,0,da9d754b232b7b248c16f73d5e8f18cc888f9ed2c7bf6e704dc3e009d5a0f8fd,222fec6552ee3266738240fe44354241f8d865a0372fe506e12b58c6c050da67,RETAIL_ORIGINAL_SYMBOL,ORIGINAL_EXPORT,retail CRO0 named export table,false,,,,,,,,GAME,0,TIER_0,size=12; blocks=1; calls=0; original_symbol,0,21
0x00319E6C,SetCassetteVersion,pml::pokepara::CoreParam::SetCassetteVersion,pml::pokepara::CoreParam,static.crs,.text,8,2,1,6,0,undefined __thiscall SetCassetteVersion(undefined1 param_1),undefined,,,,,,ANALYSIS,ANALYSIS,false,,2,0,0,0,fd8b78e157984b17547a0b69645e729bdfd00b9c382af6b443e7e31bf6224409,bf586798651469928ca0568516b62cba9685fa9c18d98b838e6875b6c151718a,RETAIL_ORIGINAL_SYMBOL,ORIGINAL_EXPORT,retail CRO0 named export table,false,,,,,,,,GAME,1,TIER_0,size=8; blocks=1; calls=0; unknown_types=2; original_symbol,0,22
0x0031A0B4,Deserialize_Full,pml::pokepara::PokemonParam::Deserialize_Full,pml::pokepara::PokemonParam,static.crs,.text,8,2,1,2,0,"undefined __thiscall Deserialize_Full(uint * param_1, undefined4 param_2, byte param_3)",undefined,,,,,,ANALYSIS,ANALYSIS,false,,2,0,0,0,fd8b78e157984b17547a0b69645e729bdfd00b9c382af6b443e7e31bf6224409,bf586798651469928ca0568516b62cba9685fa9c18d98b838e6875b6c151718a,RETAIL_ORIGINAL_SYMBOL,ORIGINAL_EXPORT,retail CRO0 named export table,false,,,,,,,,GAME,1,TIER_0,size=8; blocks=1; calls=0; unknown_types=2; original_symbol,0,23
0x0031A4AC,SetID,pml::pokepara::CoreParam::SetID,pml::pokepara::CoreParam,static.crs,.text,8,2,1,1,0,undefined __thiscall SetID(undefined4 param_1),undefined,,,,,,ANALYSIS,ANALYSIS,false,,2,0,0,0,fd8b78e157984b17547a0b69645e729bdfd00b9c382af6b443e7e31bf6224409,bf586798651469928ca0568516b62cba9685fa9c18d98b838e6875b6c151718a,RETAIL_ORIGINAL_SYMBOL,ORIGINAL_EXPORT,retail CRO0 named export table,false,,,,,,,,GAME,1,TIER_0,size=8; blocks=1; calls=0; unknown_types=2; original_symbol,0,24
0x00490D7C,GetNickName,pml::pokepara::CoreParam::GetNickName,pml::pokepara::CoreParam,static.crs,.text,8,2,1,0,0,"undefined __thiscall GetNickName(undefined4 param_1, uint param_2)",undefined,,,,,,ANALYSIS,ANALYSIS,false,,2,0,0,0,fd8b78e157984b17547a0b69645e729bdfd00b9c382af6b443e7e31bf6224409,bf586798651469928ca0568516b62cba9685fa9c18d98b838e6875b6c151718a,RETAIL_ORIGINAL_SYMBOL,ORIGINAL_EXPORT,retail CRO0 named export table,false,,,,,,,,GAME,1,TIER_0,size=8; blocks=1; calls=0; unknown_types=2; original_symbol,0,25
0x0031AECC,SetLangId,pml::pokepara::CoreParam::SetLangId,pml::pokepara::CoreParam,static.crs,.text,12,3,1,0,0,undefined __thiscall SetLangId(undefined1 param_1),undefined,,,,,,ANALYSIS,ANALYSIS,false,,2,0,0,0,7a0d2bd8ad4d9e5852951018c317d7ac4678b873f4f0987dffaba3a4b95f5b53,10eb55ee4d172cfcb9159ab900b4366d71d89401b75ee1c983741fd8482bc053,RETAIL_ORIGINAL_SYMBOL,ORIGINAL_EXPORT,retail CRO0 named export table,false,,,,,,,,GAME,1,TIER_0,size=12; blocks=1; calls=0; unknown_types=2; original_symbol,0,26
0x0031D9A8,SetSick,pml::pokepara::CoreParam::SetSick,pml::pokepara::CoreParam,static.crs,.text,8,2,1,1,1,"undefined __cdecl SetSick(int param_1, undefined4 param_2)",undefined,,,,,,ANALYSIS,ANALYSIS,false,,2,0,0,0,ea375c47bdcb74f8bb8eec2103157f9a9b3f4a6dc74e0c8baa418ded96009d6d,d420f330e8cbd8b7a20fd83231f6edc4639a5301c43d14b68273cb7048d73f01,RETAIL_ORIGINAL_SYMBOL,ORIGINAL_EXPORT,retail CRO0 named export table,false,,,,,,,,GAME,3,TIER_0,size=8; blocks=1; calls=1; unknown_types=2; original_symbol,0,27
0x0043A77C,GetPokemon,Savedata::UnionPokemon::GetPokemon,Savedata::UnionPokemon,static.crs,.text,16,4,1,0,1,"undefined __thiscall GetPokemon(PokemonParam * param_1, undefined4 param_2, byte param_3)",undefined,,pml::pokepara::PokemonParam::Deserialize_Full,,,,ANALYSIS,ANALYSIS,false,,2,0,0,0,30d5fb8ac241b3fc371b7a4a48ff67a76aa174086b90f8d09d69b8a94fcc90b8,9ab1f8d267457a2797979d449a32f3de9078e249c9184867f35627591044230e,RETAIL_ORIGINAL_SYMBOL,ORIGINAL_EXPORT,retail CRO0 named export table,false,,,,,,,,GAME,3,TIER_0,size=16; blocks=1; calls=1; unknown_types=2; original_symbol,0,28
0x0031D9A0,SetItem,pml::pokepara::CoreParam::SetItem,pml::pokepara::CoreParam,static.crs,.text,8,2,1,8,1,"undefined __cdecl SetItem(int param_1, undefined2 param_2)",undefined,,,,,,ANALYSIS,ANALYSIS,false,,2,0,0,0,5ca2006816de1d93f32419d7a40f0d0a303cc2b7f01a03f152928d54c0cba67b,d420f330e8cbd8b7a20fd83231f6edc4639a5301c43d14b68273cb7048d73f01,RETAIL_ORIGINAL_SYMBOL,ORIGINAL_EXPORT,retail CRO0 named export table,false,,,,,,,,GAME,4,TIER_0,size=8; blocks=1; calls=1; unknown_types=2; original_symbol,0,29
