address,current_name,qualified_name,module,tier,size,queue_order,status,attempts,qwen_result,checker_result,asm_result,source_candidate,started_at,finished_at,duration_seconds,failure_reason,checker_summary,next_retry_at,updated_at
0x0031804C,~EvolveManager,pml::pokepara::EvolveManager::~EvolveManager,static.crs,0,4,1,SEMANTIC,1,analysis/reagent/candidates/0x0031804C/attempt-1.cpp,PASS,NOT_TESTED_UNINTEGRATED,analysis/reagent/candidates/0x0031804C/attempt-1.cpp,2026-08-30T19:38:42+00:00,2026-08-30T19:38:57+00:00,15.32901644706726,Staged only: Phase 4A policy requires compile and ASM_MATCH before promotion,"The reversed destructor matches the Ghidra output exactly: empty body, no calls, branches, offsets, or side effects.",,2026-08-31T05:46:52+00:00
0x0031E054,~PokemonParam,pml::pokepara::PokemonParam::~PokemonParam,static.crs,0,4,2,SKIPPED_UNSAFE,0,,,,,,,0.0,NONTERMINAL_SHORT_BODY,,,2026-08-31T05:46:52+00:00
0x00492724,Serialize_Core,pml::pokepara::PokemonParam::Serialize_Core,static.crs,0,4,3,SKIPPED_UNSAFE,0,,,,,,,0.0,NONTERMINAL_SHORT_BODY,,,2026-08-31T05:46:52+00:00
0x00464D10,GetLastRecvPokemonParam,NetAppLib::P2PTrade::P2PTradeRequestClient::GetLastRecvPokemonParam,static.crs,0,8,4,SEMANTIC,1,analysis/reagent/candidates/0x00464D10/attempt-1.cpp,PASS,NOT_TESTED_UNINTEGRATED,analysis/reagent/candidates/0x00464D10/attempt-1.cpp,2026-08-30T19:38:57+00:00,2026-08-30T19:39:07+00:00,9.219958782196045,Staged only: Phase 4A policy requires compile and ASM_MATCH before promotion,"The reversed function matches the Ghidra decompilation exactly, including the return expression.",,2026-08-31T05:46:52+00:00
0x00490AF4,IsMegaEvolved,pml::pokepara::CoreParam::IsMegaEvolved,static.crs,0,8,5,SKIPPED_UNSAFE,0,,,,,,,0.0,RELOCATION_PLACEHOLDER,,,2026-08-31T05:46:52+00:00
0x00491008,GetTokuseiNo,pml::pokepara::CoreParam::GetTokuseiNo,static.crs,0,8,6,SKIPPED_UNSAFE,0,,,,,,,0.0,RELOCATION_PLACEHOLDER,,,2026-08-31T05:46:52+00:00
0x0049104C,HaveNickName,pml::pokepara::CoreParam::HaveNickName,static.crs,0,8,7,SKIPPED_UNSAFE,0,,,,,,,0.0,RELOCATION_PLACEHOLDER,,,2026-08-31T05:46:52+00:00
0x004911B4,GetFamiliarity,pml::pokepara::CoreParam::GetFamiliarity,static.crs,0,8,8,SKIPPED_UNSAFE,0,,,,,,,0.0,RELOCATION_PLACEHOLDER,,,2026-08-31T05:46:52+00:00
0x004914B0,GetNadenadeValue,pml::pokepara::CoreParam::GetNadenadeValue,static.crs,0,8,9,SKIPPED_UNSAFE,0,,,,,,,0.0,RELOCATION_PLACEHOLDER,,,2026-08-31T05:46:52+00:00
0x00491520,GetWazaPPUpCount,pml::pokepara::CoreParam::GetWazaPPUpCount,static.crs,0,8,10,SKIPPED_UNSAFE,0,,,,,,,0.0,RELOCATION_PLACEHOLDER,,,2026-08-31T05:46:52+00:00
0x004919B4,GetOriginalFamiliarity,pml::pokepara::CoreParam::GetOriginalFamiliarity,static.crs,0,8,11,SKIPPED_UNSAFE,0,,,,,,,0.0,RELOCATION_PLACEHOLDER,,,2026-08-31T05:46:52+00:00
0x00491A60,GetID,pml::pokepara::CoreParam::GetID,static.crs,0,8,12,SKIPPED_UNSAFE,0,,,,,,,0.0,RELOCATION_PLACEHOLDER,,,2026-08-31T05:46:52+00:00
0x00491A94,GetWazaPP,pml::pokepara::CoreParam::GetWazaPP,static.crs,0,8,13,SKIPPED_UNSAFE,0,,,,,,,0.0,RELOCATION_PLACEHOLDER,,,2026-08-31T05:46:52+00:00
0x00491BDC,GetExp,pml::pokepara::CoreParam::GetExp,static.crs,0,8,14,SKIPPED_UNSAFE,0,,,,,,,0.0,RELOCATION_PLACEHOLDER,,,2026-08-31T05:46:52+00:00
0x00491C3C,GetSex,pml::pokepara::CoreParam::GetSex,static.crs,0,8,15,SKIPPED_UNSAFE,0,,,,,,,0.0,RELOCATION_PLACEHOLDER,,,2026-08-31T05:46:52+00:00
0x00491EF0,GetFormNo,pml::pokepara::CoreParam::GetFormNo,static.crs,0,8,16,SKIPPED_UNSAFE,0,,,,,,,0.0,RELOCATION_PLACEHOLDER,,,2026-08-31T05:46:52+00:00
0x00493638,GetWazaNo,pml::pokepara::CoreParam::GetWazaNo,static.crs,0,8,17,REJECTED,1,analysis/reagent/candidates/0x00493638/attempt-1.cpp,FAIL,PASS,analysis/reagent/candidates/0x00493638/attempt-1.cpp,2026-08-30T19:39:07+00:00,2026-08-30T19:39:18+00:00,10.867547273635864,Checker or objective verifier rejected the generated candidate,"Logic matches, but the return type does not match the 64-bit Ghidra signature.",,2026-08-31T05:46:52+00:00
0x00318034,EvolveManager,pml::pokepara::EvolveManager::EvolveManager,static.crs,0,12,18,REJECTED,1,analysis/reagent/candidates/0x00318034/attempt-1.cpp,FAIL,PASS,analysis/reagent/candidates/0x00318034/attempt-1.cpp,2026-08-30T19:39:18+00:00,2026-08-30T19:39:30+00:00,12.490176916122437,Checker or objective verifier rejected the generated candidate,The reversed constructor assigns the wrong value to the wrong location.,,2026-08-31T05:46:52+00:00
0x0031AA34,RecoverSick,pml::pokepara::CoreParam::RecoverSick,static.crs,0,12,19,SEMANTIC,1,analysis/reagent/candidates/0x0031AA34/attempt-1.cpp,PASS,NOT_TESTED_UNINTEGRATED,analysis/reagent/candidates/0x0031AA34/attempt-1.cpp,2026-08-30T19:39:30+00:00,2026-08-30T19:39:42+00:00,11.528783798217773,Staged only: Phase 4A policy requires compile and ASM_MATCH before promotion,"Reversed code matches the Ghidra logic, offsets, calls, branch structure, and expression order.",,2026-08-31T05:46:52+00:00
