cluster_id,blocker,namespace,shared_dependency,module,candidate_count,total_size,checker_pass,known_symbols,unknown_types,offsets,score,priority,addresses
e544ab4f32bd,unresolved external call,Savedata::ResortSave,,static.crs,23,1256,23,23,51,0x5669;0x56af;0x56b0;0x56f8;0x56f9,253,HIGH,0x00438F48;0x004384FC;0x004388F0;0x00438BC0;0x00438D40;0x00439050;0x00439524;0x00437D7C;0x00438040;0x004386D0;0x004389B4;0x00438B00;0x00438CA0;0x00438CD4;0x00438E4C;0x004390F4;0x00439128;0x0043915C;0x004395E8;0x0043961C;0x00437DC4;0x004380D0;0x00438FD8
1ca280a42aef,uncertain member offset,NetApp::NBR::NBRNet,gflnet2::p2p::NetGame::SendDataCommand,static.crs,12,680,12,12,6,0x28;0x29;0x2a;0x2b;0x2c;0x2d;0x2e;0x30;0x32;0x33;0x34;0x36,155,HIGH,0x003CEB90;0x003CF138;0x003CF168;0x003CEBF4;0x003CF214;0x003CF288;0x003CF42C;0x003CEE88;0x003CF24C;0x003CEBC0;0x003CEF74;0x003CF0EC
ef9ad13ecd1d,unresolved external call,gfl2::ui::TouchPanel,FUN_001054dc,static.crs,10,252,10,10,9,,126,HIGH,0x00497FA0;0x00497FB0;0x0049814C;0x0049815C;0x004981E0;0x00498220;0x00498230;0x00497F80;0x004981A8;0x0049816C
e7f551b67152,unresolved external call,print::WordSet,FUN_003c11f8,static.crs,10,956,10,10,11,0x43;0x6b,124,HIGH,0x003C1A74;0x003C181C;0x003C1664;0x003C1020;0x003C1060;0x003C1B68;0x003C1F10;0x003C0FB8;0x003C1D44;0x003C15DC
36eff049015d,unknown this-pointer type,poke_3d::model::BaseCamera,,static.crs,9,132,9,9,19,,103,HIGH,0x0040D2C4;0x0040D104;0x0040D2D4;0x0040D490;0x0040D5CC;0x0040D10C;0x0040D058;0x0040D03C;0x0040D2DC
df237e4af206,ABI uncertainty,ExtSavedata::RegulationExtSaveData,GetInstance,static.crs,8,140,8,8,8,,101,HIGH,0x0015B230;0x0015C198;0x0015C2B8;0x0015C308;0x0015BF60;0x0015C028;0x0015C220;0x0015C268
27216810f1a9,uncertain member offset,app::util::G2DUtil,,static.crs,7,220,7,7,8,0x14;0x1c;0x24;0x2c;0x34;0x38;0x3c,88,MEDIUM,0x0030F8FC;0x0048EE3C;0x0030F5A4;0x0048EEC0;0x00310CEC;0x00310E2C;0x003100C0
25621959e87b,unresolved external call,gfl2::ui::VectorDevice,FUN_001054dc,static.crs,6,140,6,6,3,,80,MEDIUM,0x004983E8;0x0049868C;0x0049869C;0x00498704;0x00498730;0x00498754
6da6ff7be36c,uncertain member offset,NetAppLib::P2PTrade::P2PTradeRequestClient,,static.crs,6,192,6,6,6,0x2190,77,MEDIUM,0x00464B80;0x00464BA0;0x00464BF4;0x00464CF0;0x00464D18;0x00464D38
4534de888c8c,unresolved external call,Sound,FUN_003ad9d8,static.crs,5,312,5,5,1,,69,MEDIUM,0x003A9828;0x003AA76C;0x003AD370;0x003AA730;0x003ACD74
44f6b7cbb514,unresolved external call,gfl2::ui::Button,FUN_001054dc,static.crs,5,352,5,5,1,,69,MEDIUM,0x001049F8;0x00498F90;0x00498F40;0x00498F08;0x00498FD8
0ee3ce0838e1,unresolved external call,PokeTool::PokemonSort,FUN_0042c454,static.crs,5,200,5,5,5,0x20;0x24,65,MEDIUM,0x0042C00C;0x0042C038;0x0042C7A8;0x0042C424;0x0042C770
51f097ed97da,unknown this-pointer type,Savedata::ResortSave,,static.crs,5,72,5,5,5,,65,MEDIUM,0x004391AC;0x004391C8;0x00439910;0x00438B4C;0x0043933C
503f5699aded,uncertain member offset,app::util::G2DUtil,gfl2::lyt::LytWk::GetPane,static.crs,5,252,5,5,5,0x14,65,MEDIUM,0x0048EFA4;0x0048EFC0;0x0048EE78;0x003116D0;0x0030F778
9470e9e80a51,unresolved external call,pml::pokepara::CoreParam,FUN_0031a338,static.crs,5,276,5,5,6,0xc,64,MEDIUM,0x0031D984;0x0031AD14;0x004918FC;0x0031AF30;0x0031A1B8
56ec1e149037,unknown this-pointer type,Field::FieldScript::FieldScriptSystem,,static.crs,5,108,5,5,11,,59,MEDIUM,0x00381040;0x00380778;0x00380620;0x0049CF90;0x00380A4C
878e30ecbc5e,unresolved external call,PokeTool::KawaigariParamCareCoreManager,FUN_00430888,static.crs,4,312,4,4,0,0xc,57,MEDIUM,0x0043072C;0x00430774;0x004307C4;0x00430814
6f594eb4f98f,uncertain member offset,Regulation,,static.crs,4,112,4,4,4,0x10;0x1c;0x22;0x2e,53,MEDIUM,0x00474CEC;0x00474D74;0x00474C40;0x00474C9C
