target_program,target_address,target_offset,name,mangled_name,namespace,kind,provenance,confidence,evidence_type,source_program,source_file,source_module,source_segment,source_offset,body_sha256,notes
PokemonMoon_US_v1_0,0x00100050,0x00000050,__aeabi_vec_ctor_nocookie_nodtor,__aeabi_vec_ctor_nocookie_nodtor,Global,FUNCTION,RETAIL_ORIGINAL_SYMBOL,ORIGINAL_EXPORT,retail CRO0 named export table,PokemonMoon_US_v1_0,static.crs,|static|,.text,0x00000051,897f0c9729d5648e56c58ce2cf310343b4b95613959e2d8b054b574b38601474,Static address resolved from CRS segment base; cleared Thumb-state bit 0
PokemonMoon_US_v1_0,0x001001C4,0x000001C4,__c89vsnprintf,__c89vsnprintf,Global,FUNCTION,RETAIL_ORIGINAL_SYMBOL,ORIGINAL_EXPORT,retail CRO0 named export table,PokemonMoon_US_v1_0,static.crs,|static|,.text,0x000001C5,f7467558bf2d7941cde26cbd96071c4626b1f58405418a9d9db555d850fc4792,Static address resolved from CRS segment base; cleared Thumb-state bit 0
PokemonMoon_US_v1_0,0x00100260,0x00000260,__2sprintf,__2sprintf,Global,FUNCTION,RETAIL_ORIGINAL_SYMBOL,ORIGINAL_EXPORT,retail CRO0 named export table,PokemonMoon_US_v1_0,static.crs,|static|,.text,0x00000261,de84f1eba9adda10c3e7bdb6a74ecb23162f65ba7820c3eed519fe688e4e26c2,Static address resolved from CRS segment base; cleared Thumb-state bit 0
PokemonMoon_US_v1_0,0x00100294,0x00000294,__2snprintf,__2snprintf,Global,FUNCTION,RETAIL_ORIGINAL_SYMBOL,ORIGINAL_EXPORT,retail CRO0 named export table,PokemonMoon_US_v1_0,static.crs,|static|,.text,0x00000295,6c33879ecb4126c0fbabba905733703bbc14fd0d71f045a3101ac1ae96c45bfc,Static address resolved from CRS segment base; cleared Thumb-state bit 0
PokemonMoon_US_v1_0,0x001002D8,0x000002D8,__2swprintf,__2swprintf,Global,FUNCTION,RETAIL_ORIGINAL_SYMBOL,ORIGINAL_EXPORT,retail CRO0 named export table,PokemonMoon_US_v1_0,static.crs,|static|,.text,0x000002D9,87dc6d75411d684829d8e0196b08a43d40038e0e9ebfc531a5ad67a1b945af14,Static address resolved from CRS segment base; cleared Thumb-state bit 0
PokemonMoon_US_v1_0,0x00100380,0x00000380,_printf_int_dec,_printf_int_dec,Global,FUNCTION,RETAIL_ORIGINAL_SYMBOL,ORIGINAL_EXPORT,retail CRO0 named export table,PokemonMoon_US_v1_0,static.crs,|static|,.text,0x00000381,5738e09545f922ba9a0d1c400b6525a4ba26287c03ec2d45f429fad349dff204,Static address resolved from CRS segment base; cleared Thumb-state bit 0
PokemonMoon_US_v1_0,0x001005FC,0x000005FC,_printf_longlong_hex,_printf_longlong_hex,Global,FUNCTION,RETAIL_ORIGINAL_SYMBOL,ORIGINAL_EXPORT,retail CRO0 named export table,PokemonMoon_US_v1_0,static.crs,|static|,.text,0x000005FD,fd5e69aa00f0cc210929868f00681b18a45bbf439501429c5a6ca9e65b24b1ac,Static address resolved from CRS segment base; cleared Thumb-state bit 0
PokemonMoon_US_v1_0,0x00100C78,0x00000C78,memcmp,memcmp,Global,FUNCTION,RETAIL_ORIGINAL_SYMBOL,ORIGINAL_EXPORT,retail CRO0 named export table,PokemonMoon_US_v1_0,static.crs,|static|,.text,0x00000C79,697276718f56006a68df308a836fc8b135a19ab5eac95c000fa941fdbf889019,Static address resolved from CRS segment base; cleared Thumb-state bit 0
PokemonMoon_US_v1_0,0x00100F1C,0x00000F1C,__aeabi_vec_dtor,__aeabi_vec_dtor,Global,FUNCTION,RETAIL_ORIGINAL_SYMBOL,ORIGINAL_EXPORT,retail CRO0 named export table,PokemonMoon_US_v1_0,static.crs,|static|,.text,0x00000F1D,976a3ed1af5433dbaff4ab09da370a180f89a93945221db744b19188cef1a6df,Static address resolved from CRS segment base; cleared Thumb-state bit 0
PokemonMoon_US_v1_0,0x0010318C,0x0000318C,__rw::__rw_facet_base::_C_initfacet(std::locale const&),_ZN4__rw15__rw_facet_base12_C_initfacetERKSt6locale,__rw::__rw_facet_base,FUNCTION,RETAIL_ORIGINAL_SYMBOL,ORIGINAL_EXPORT,retail CRO0 named export table,PokemonMoon_US_v1_0,static.crs,|static|,.text,0x0000318D,c7dfbb7d02759eacb64dbc916c1bb6f21eabaff1c1032ea5c9176abf7fd28df8,Static address resolved from CRS segment base; cleared Thumb-state bit 0
