class_name,evidence_kind,symbol_name,mangled_name,module,target_address,segment,segment_offset,provenance
App::Tool::CommonMessageWindowView,TYPEINFO,typeinfo for App::Tool::CommonMessageWindowView,_ZTIN3App4Tool23CommonMessageWindowViewE,|static|,0x005F662C,.rodata,0x0006062C,RETAIL_ORIGINAL_SYMBOL
Field::Encount::EventSymbolEncount,VTABLE,vtable for Field::Encount::EventSymbolEncount,_ZTVN5Field7Encount18EventSymbolEncountE,|static|,0x0061B344,.rodata,0x00085344,RETAIL_ORIGINAL_SYMBOL
Field::EventNormalLose,VTABLE,vtable for Field::EventNormalLose,_ZTVN5Field15EventNormalLoseE,|static|,0x0061B040,.rodata,0x00085040,RETAIL_ORIGINAL_SYMBOL
GameSys::GameEvent,TYPEINFO,typeinfo for GameSys::GameEvent,_ZTIN7GameSys9GameEventE,|static|,0x005F8DF4,.rodata,0x00062DF4,RETAIL_ORIGINAL_SYMBOL
GameSys::GameProc,TYPEINFO,typeinfo for GameSys::GameProc,_ZTIN7GameSys8GameProcE,|static|,0x005F8DDC,.rodata,0x00062DDC,RETAIL_ORIGINAL_SYMBOL
NetAppLib::JoinFestaUI::JoinFestaPlayerListSelectLowerViewBase,TYPEINFO,typeinfo for NetAppLib::JoinFestaUI::JoinFestaPlayerListSelectLowerViewBase,_ZTIN9NetAppLib11JoinFestaUI38JoinFestaPlayerListSelectLowerViewBaseE,|static|,0x005F98B4,.rodata,0x000638B4,RETAIL_ORIGINAL_SYMBOL
NetAppLib::Message::TelopTagProcessor,VTABLE,vtable for NetAppLib::Message::TelopTagProcessor,_ZTVN9NetAppLib7Message17TelopTagProcessorE,|static|,0x0061F250,.rodata,0x00089250,RETAIL_ORIGINAL_SYMBOL
NetAppLib::System::ApplicationSystemBase,TYPEINFO,typeinfo for NetAppLib::System::ApplicationSystemBase,_ZTIN9NetAppLib6System21ApplicationSystemBaseE,|static|,0x005F9A54,.rodata,0x00063A54,RETAIL_ORIGINAL_SYMBOL
NetAppLib::System::ApplicationWorkBase,TYPEINFO,typeinfo for NetAppLib::System::ApplicationWorkBase,_ZTIN9NetAppLib6System19ApplicationWorkBaseE,|static|,0x005F9A44,.rodata,0x00063A44,RETAIL_ORIGINAL_SYMBOL
NetAppLib::System::NetAppFrameBase,TYPEINFO,typeinfo for NetAppLib::System::NetAppFrameBase,_ZTIN9NetAppLib6System15NetAppFrameBaseE,|static|,0x005F9A30,.rodata,0x00063A30,RETAIL_ORIGINAL_SYMBOL
NetAppLib::System::NetApplicationViewBase,TYPEINFO,typeinfo for NetAppLib::System::NetApplicationViewBase,_ZTIN9NetAppLib6System22NetApplicationViewBaseE,|static|,0x005F9A5C,.rodata,0x00063A5C,RETAIL_ORIGINAL_SYMBOL
NetAppLib::UI::NetAppCursorView,TYPEINFO,typeinfo for NetAppLib::UI::NetAppCursorView,_ZTIN9NetAppLib2UI16NetAppCursorViewE,|static|,0x005F9940,.rodata,0x00063940,RETAIL_ORIGINAL_SYMBOL
NetAppLib::UI::NetAppMessageMenu,TYPEINFO,typeinfo for NetAppLib::UI::NetAppMessageMenu,_ZTIN9NetAppLib2UI17NetAppMessageMenuE,|static|,0x005F9970,.rodata,0x00063970,RETAIL_ORIGINAL_SYMBOL
System::ClearDepthRenderPath,VTABLE,vtable for System::ClearDepthRenderPath,_ZTVN6System20ClearDepthRenderPathE,|static|,0x0061CAB8,.rodata,0x00086AB8,RETAIL_ORIGINAL_SYMBOL
System::ModelRenderPath,TYPEINFO,typeinfo for System::ModelRenderPath,_ZTIN6System15ModelRenderPathE,|static|,0x005F8CE4,.rodata,0x00062CE4,RETAIL_ORIGINAL_SYMBOL
__cxxabiv1::__class_type_info,TYPEINFO,typeinfo for __cxxabiv1::__class_type_info,_ZTIN10__cxxabiv117__class_type_infoE,|static|,0x005F3380,.rodata,0x0005D380,RETAIL_ORIGINAL_SYMBOL
__cxxabiv1::__class_type_info,TYPEINFO,typeinfo name for __cxxabiv1::__class_type_info,_ZTSN10__cxxabiv117__class_type_infoE,|static|,0x005F9E41,.rodata,0x00063E41,RETAIL_ORIGINAL_SYMBOL
