module,file,kind,index,name,demangled_name,segment,offset,segment_name,classification,provenance
AnaiTest,AnaiTest.cro,named,0,nnroControlObject_,nnroControlObject_,0,0,.text,CONTROL_OBJECT,RETAIL_ORIGINAL_SYMBOL
AppDemo,AppDemo.cro,named,0,nnroControlObject_,nnroControlObject_,0,7556,.text,CONTROL_OBJECT,RETAIL_ORIGINAL_SYMBOL
ArakiTest,ArakiTest.cro,named,0,nnroControlObject_,nnroControlObject_,0,0,.text,CONTROL_OBJECT,RETAIL_ORIGINAL_SYMBOL
AriizumiTest,AriizumiTest.cro,named,0,nnroControlObject_,nnroControlObject_,0,728,.text,CONTROL_OBJECT,RETAIL_ORIGINAL_SYMBOL
Background,Background.cro,named,0,nnroControlObject_,nnroControlObject_,0,10976,.text,CONTROL_OBJECT,RETAIL_ORIGINAL_SYMBOL
Background,Background.cro,named,1,_ZN3btl8BgSystem8IsEnalbeEv,btl::BgSystem::IsEnalbe(),0,7820,.text,FUNCTION,RETAIL_ORIGINAL_SYMBOL
Background,Background.cro,named,2,_ZN3btl8BgSystem9IsVisibleEv,btl::BgSystem::IsVisible(),0,7828,.text,FUNCTION,RETAIL_ORIGINAL_SYMBOL
Bag,Bag.cro,named,0,nnroControlObject_,nnroControlObject_,0,85696,.text,CONTROL_OBJECT,RETAIL_ORIGINAL_SYMBOL
Battle,Battle.cro,named,0,nnroControlObject_,nnroControlObject_,0,1009292,.text,CONTROL_OBJECT,RETAIL_ORIGINAL_SYMBOL
Battle,Battle.cro,named,1,_ZN3btl8BgSystem8IsEnalbeEv,btl::BgSystem::IsEnalbe(),0,899144,.text,FUNCTION,RETAIL_ORIGINAL_SYMBOL
Battle,Battle.cro,named,2,_ZN3btl8BgSystem9IsVisibleEv,btl::BgSystem::IsVisible(),0,899152,.text,FUNCTION,RETAIL_ORIGINAL_SYMBOL
BattleRoyalResult,BattleRoyalResult.cro,named,0,nnroControlObject_,nnroControlObject_,0,17176,.text,CONTROL_OBJECT,RETAIL_ORIGINAL_SYMBOL
BattleSpot,BattleSpot.cro,named,0,nnroControlObject_,nnroControlObject_,0,113356,.text,CONTROL_OBJECT,RETAIL_ORIGINAL_SYMBOL
BattleTree,BattleTree.cro,named,0,nnroControlObject_,nnroControlObject_,0,23272,.text,CONTROL_OBJECT,RETAIL_ORIGINAL_SYMBOL
BattleVideoPlayer,BattleVideoPlayer.cro,named,0,nnroControlObject_,nnroControlObject_,0,59088,.text,CONTROL_OBJECT,RETAIL_ORIGINAL_SYMBOL
BattleVideoRecording,BattleVideoRecording.cro,named,0,nnroControlObject_,nnroControlObject_,0,13620,.text,CONTROL_OBJECT,RETAIL_ORIGINAL_SYMBOL
