source_module,source_file,target_module,indexed_count,anonymous_count
AppDemo,AppDemo.cro,SequencePlayer,0,16
Bag,Bag.cro,FieldBag,0,28
Battle,Battle.cro,Bag,0,6
Battle,Battle.cro,WazaOshie,0,2
Battle,Battle.cro,Background,0,21
Battle,Battle.cro,Object,0,133
Battle,Battle.cro,SequencePlayer,0,1
Battle,Battle.cro,SeqEditor,0,11
BattleVideoPlayer,BattleVideoPlayer.cro,NumberInput,0,3
Box,Box.cro,RaderChart,0,11
CaptureTutorial,CaptureTutorial.cro,Battle,0,122
EggHatching,EggHatching.cro,AppDemo,0,6
EggHatching,EggHatching.cro,SequencePlayer,0,2
Evolution,Evolution.cro,AppDemo,0,6
Evolution,Evolution.cro,SequencePlayer,0,2
FieldBag,FieldBag.cro,Bag,0,2
FieldDemo,FieldDemo.cro,SequencePlayer,0,8
FieldGimmickBattleInst,FieldGimmickBattleInst.cro,FieldRo,0,14
FieldGimmickJoinFesta,FieldGimmickJoinFesta.cro,FieldRo,0,3
FieldGimmickJoinFesta,FieldGimmickJoinFesta.cro,JoinFesta,0,19
FieldGimmickJoinFestaRoom,FieldGimmickJoinFestaRoom.cro,JoinFesta,0,18
FieldGimmickLift,FieldGimmickLift.cro,FieldRo,0,2
FieldGimmickPokecen,FieldGimmickPokecen.cro,FieldRo,0,5
FieldMenu,FieldMenu.cro,FieldRo,0,13
FieldRo,FieldRo.cro,FieldBattleInstEvent,0,4
FieldRo,FieldRo.cro,Finder,0,1
FieldRo,FieldRo.cro,FieldMenu,0,12
FieldRo,FieldRo.cro,FieldGimmickLift,0,3
FieldRo,FieldRo.cro,FieldGimmickPokecen,0,6
FieldRo,FieldRo.cro,FieldGimmickJoinFesta,0,1
FieldRo,FieldRo.cro,FieldGimmickBattleInst,0,3
FieldRo,FieldRo.cro,FieldGimmickJoinFestaRoom,0,1
FieldRo,FieldRo.cro,JoinFestaSubScreen,0,1
FieldRo,FieldRo.cro,JoinFesta,0,3
FieldRo,FieldRo.cro,SequencePlayer,0,7
Finder,Finder.cro,FieldRo,0,46
FinderMenu,FinderMenu.cro,FieldRo,0,5
GTS,GTS.cro,Box,0,7
GTS,GTS.cro,StrInput,0,2
HeroSelect,HeroSelect.cro,StrInput,0,2
JoinFesta,JoinFesta.cro,FieldRo,0,52
JoinFesta,JoinFesta.cro,KisekaeData,0,6
JoinFestaProfile,JoinFestaProfile.cro,StrInput,0,2
JoinFestaSubScreen,JoinFestaSubScreen.cro,FieldRo,0,1
Kawaigari,Kawaigari.cro,Background,0,18
Kawaigari,Kawaigari.cro,Object,0,50
Kisekae,Kisekae.cro,KisekaeData,0,5
MysteryGift,MysteryGift.cro,NumberInput,0,3
QuickMatch,QuickMatch.cro,FieldMenu,0,4
SequencePlayer,SequencePlayer.cro,Object,0,151
SequencePlayer,SequencePlayer.cro,SeqEditor,0,11
Status,Status.cro,StatusUpper,0,6
StatusUpper,StatusUpper.cro,RaderChart,0,15
SuperTraining,SuperTraining.cro,StatusUpper,0,6
TownMap,TownMap.cro,TownMapParts,0,13
WazaOmoidasi,WazaOmoidasi.cro,RaderChart,0,15
Zukan,Zukan.cro,TownMapParts,0,15
Zukan,Zukan.cro,StrInput,0,2
|static|,static.crs,FieldGimmickBattleInst,0,2
|static|,static.crs,FieldRo,0,327
|static|,static.crs,BattleTree,0,1
|static|,static.crs,FinderMenu,0,2
|static|,static.crs,HeroSelect,0,2
|static|,static.crs,LangSelect,0,2
|static|,static.crs,ParurePokeList,0,2
|static|,static.crs,DendouDemo,0,1
|static|,static.crs,TrainerPass,0,2
|static|,static.crs,WazaOmoidasi,0,2
|static|,static.crs,SuperTraining,0,1
|static|,static.crs,GameClearSave,0,1
|static|,static.crs,BattleRoyalResult,0,1
|static|,static.crs,FieldBag,0,2
|static|,static.crs,Box,0,1
|static|,static.crs,Shop,0,2
|static|,static.crs,RaderChart,0,3
|static|,static.crs,TrainerPhoto,0,2
|static|,static.crs,Zukan,0,1
|static|,static.crs,Config,0,1
|static|,static.crs,Resort,0,3
|static|,static.crs,Status,0,2
|static|,static.crs,AppDemo,0,7
|static|,static.crs,CaptureTutorial,0,2
|static|,static.crs,EndRoll,0,1
|static|,static.crs,Kisekae,0,1
|static|,static.crs,TownMap,0,2
|static|,static.crs,GameOver,0,1
|static|,static.crs,StrInput,0,2
|static|,static.crs,BoxSearch,0,2
|static|,static.crs,FieldMenu,0,5
|static|,static.crs,Kawaigari,0,1
|static|,static.crs,Staffroll,0,2
|static|,static.crs,TitleMenu,0,2
|static|,static.crs,WazaOshie,0,2
|static|,static.crs,Battle,0,12
|static|,static.crs,JoinFesta,0,4
|static|,static.crs,FieldDemo,0,1
|static|,static.crs,Finder,0,7
|static|,static.crs,BattleSpot,0,1
|static|,static.crs,Connection,0,1
|static|,static.crs,QuickMatch,0,1
|static|,static.crs,TeamSelect,0,1
|static|,static.crs,EggHatching,0,1
|static|,static.crs,MiracleTrade,0,1
|static|,static.crs,JoinFestaBeacon,0,1
|static|,static.crs,JoinFestaProfile,0,1
|static|,static.crs,RegulationSelect,0,1
|static|,static.crs,BattleVideoPlayer,0,2
|static|,static.crs,JoinFestaOpenList,0,1
|static|,static.crs,JoinFestaSubScreen,0,2
|static|,static.crs,JoinFestaSelectWord,0,1
|static|,static.crs,BattleVideoRecording,0,1
|static|,static.crs,JoinFestaPlayerDetail,0,1
|static|,static.crs,JoinFestaPlayerListShow,0,1
|static|,static.crs,JoinFestaAttractionResult,0,1
|static|,static.crs,JoinFestaGlobalAttraction,0,1
|static|,static.crs,JoinFestaPlayerListSelect,0,1
|static|,static.crs,JoinFestaAttractionListSelect,0,1
|static|,static.crs,JoinFestaPlayerListSelectMulti,0,1
|static|,static.crs,JoinFestaPlayerListSelectForScript,0,1
|static|,static.crs,GTS,0,1
|static|,static.crs,NBR,0,1
|static|,static.crs,MysteryGift,0,1
|static|,static.crs,Live,0,1
|static|,static.crs,GameSync,0,1
|static|,static.crs,P2PTrade,0,3
|static|,static.crs,QRReader,0,1
|static|,static.crs,Evolution,0,1
|static|,static.crs,SequencePlayer,0,10
|static|,static.crs,MovieLib,0,1
