module,file,sha256,actual_size,declared_size,bss_size,code_offset,code_size,data_offset,data_size,named_exports,indexed_exports,named_imports,import_modules,relocations
AnaiTest,AnaiTest.cro,b996787f2bf5ab6182cbd0470ea1801d5bf0ee7e15e96b49c5b53a785dc66034,8192,8192,32,384,3712,4332,4,1,0,0,0,10
AppDemo,AppDemo.cro,e301fcbdc0756345c144839772dac3dc4f057a49f250069dd31e83673ae477bb,20480,20480,32,384,11904,20308,72,1,0,54,1,252
ArakiTest,ArakiTest.cro,0c72eca34d07714833e2e694a76c003bff2f1528bf07293c980bfd421228fa8c,8192,8192,32,384,3712,4332,4,1,0,0,0,10
AriizumiTest,AriizumiTest.cro,e4ddb76a67b9b569ea7fdd621e813be482a4140845187c75a3cf4018e6db347a,8192,8192,32,384,3712,5960,68,1,0,15,0,12
Background,Background.cro,6ceb6b45febbea95ba4dd972939b3738e7bba0efee99ed24ecd9d77d9b890fcd,28672,28672,32,384,16000,26476,96,3,0,100,0,80
Bag,Bag.cro,06e2390eb9d855b1cccae9c6a4588b8d4b1403213cf3600979bff4d065cac587,131072,131072,64,384,93824,129608,564,1,0,384,1,524
Battle,Battle.cro,d1bbea341a2525e424ea7a1263f84af0a2695997e877284d59dda1d36f50cd8b,1273856,1273856,47820,384,1076864,1266504,3380,3,0,879,6,8125
BattleRoyalResult,BattleRoyalResult.cro,d37f941ecea26e65af8f233c710ec09be790a2091b824f76bf5db0faba4c906a,40960,40960,32,384,24192,38420,104,1,0,119,0,223
BattleSpot,BattleSpot.cro,fc92646643431e5bc2d767dea66055344cb30e40fe7290c32d48d0c556c91339,192512,192512,32,384,130688,190100,220,1,0,422,0,1675
BattleTree,BattleTree.cro,1f3392f33c0827a6036d798f6e2967802bd7e3ee3a96f40a1ce191997906d022,49152,49152,32,384,28288,46468,116,1,0,152,0,287
BattleVideoPlayer,BattleVideoPlayer.cro,9cb0fc9712a8c797694963f25366f48482d0ddec939be0647e6e4e7f5a8cf4bb,98304,98304,32,384,65152,94816,140,1,0,264,1,398
BattleVideoRecording,BattleVideoRecording.cro,883b03b9c863791d51a2608849136cbf1396957171e694ee5c4262b8da07e7b6,32768,32768,32,384,20096,32352,88,1,0,121,0,138
