module,file,id,name,offset,size
AnaiTest,AnaiTest.cro,0,.text,384,172
AnaiTest,AnaiTest.cro,1,.rodata,4096,0
AnaiTest,AnaiTest.cro,2,.data,4332,4
AnaiTest,AnaiTest.cro,0,.text,0,0
AnaiTest,AnaiTest.cro,0,.text,0,0
AppDemo,AppDemo.cro,0,.text,384,7736
AppDemo,AppDemo.cro,1,.rodata,8192,1472
AppDemo,AppDemo.cro,2,.data,20308,72
AppDemo,AppDemo.cro,0,.text,0,0
AppDemo,AppDemo.cro,0,.text,0,0
ArakiTest,ArakiTest.cro,0,.text,384,172
ArakiTest,ArakiTest.cro,1,.rodata,4096,0
ArakiTest,ArakiTest.cro,2,.data,4332,4
ArakiTest,ArakiTest.cro,0,.text,0,0
ArakiTest,ArakiTest.cro,0,.text,0,0
AriizumiTest,AriizumiTest.cro,0,.text,384,904
AriizumiTest,AriizumiTest.cro,1,.rodata,4096,0
AriizumiTest,AriizumiTest.cro,2,.data,5960,68
AriizumiTest,AriizumiTest.cro,0,.text,0,0
AriizumiTest,AriizumiTest.cro,0,.text,0,0
Background,Background.cro,0,.text,384,11156
Background,Background.cro,1,.rodata,12288,1260
Background,Background.cro,2,.data,26476,96
Background,Background.cro,0,.text,0,0
Background,Background.cro,0,.text,0,0
Bag,Bag.cro,0,.text,384,85888
Bag,Bag.cro,1,.rodata,90112,3780
Bag,Bag.cro,2,.data,129608,564
Bag,Bag.cro,3,.bss,0,32
Bag,Bag.cro,0,.text,0,0
Battle,Battle.cro,0,.text,384,1014724
Battle,Battle.cro,1,.rodata,1015808,58372
Battle,Battle.cro,2,.data,1266504,3380
Battle,Battle.cro,3,.bss,0,47780
Battle,Battle.cro,0,.text,0,0
BattleRoyalResult,BattleRoyalResult.cro,0,.text,384,17388
BattleRoyalResult,BattleRoyalResult.cro,1,.rodata,20480,2260
BattleRoyalResult,BattleRoyalResult.cro,2,.data,38420,104
BattleRoyalResult,BattleRoyalResult.cro,0,.text,0,0
BattleRoyalResult,BattleRoyalResult.cro,0,.text,0,0
BattleSpot,BattleSpot.cro,0,.text,384,113644
BattleSpot,BattleSpot.cro,1,.rodata,114688,12420
BattleSpot,BattleSpot.cro,2,.data,190100,220
BattleSpot,BattleSpot.cro,0,.text,0,0
BattleSpot,BattleSpot.cro,0,.text,0,0
BattleTree,BattleTree.cro,0,.text,384,23496
BattleTree,BattleTree.cro,1,.rodata,24576,2900
BattleTree,BattleTree.cro,2,.data,46468,116
BattleTree,BattleTree.cro,0,.text,0,0
BattleTree,BattleTree.cro,0,.text,0,0
BattleVideoPlayer,BattleVideoPlayer.cro,0,.text,384,59336
BattleVideoPlayer,BattleVideoPlayer.cro,1,.rodata,61440,3920
BattleVideoPlayer,BattleVideoPlayer.cro,2,.data,94816,140
BattleVideoPlayer,BattleVideoPlayer.cro,0,.text,0,0
BattleVideoPlayer,BattleVideoPlayer.cro,0,.text,0,0
BattleVideoRecording,BattleVideoRecording.cro,0,.text,384,13816
BattleVideoRecording,BattleVideoRecording.cro,1,.rodata,16384,1176
BattleVideoRecording,BattleVideoRecording.cro,2,.data,32352,88
BattleVideoRecording,BattleVideoRecording.cro,0,.text,0,0
BattleVideoRecording,BattleVideoRecording.cro,0,.text,0,0
Box,Box.cro,0,.text,384,183064
Box,Box.cro,1,.rodata,184320,13304
Box,Box.cro,2,.data,264500,3624
Box,Box.cro,0,.text,0,0
Box,Box.cro,0,.text,0,0
BoxSearch,BoxSearch.cro,0,.text,384,34852
BoxSearch,BoxSearch.cro,1,.rodata,36864,3600
BoxSearch,BoxSearch.cro,2,.data,61268,148
BoxSearch,BoxSearch.cro,0,.text,0,0
BoxSearch,BoxSearch.cro,0,.text,0,0
CaptureTutorial,CaptureTutorial.cro,0,.text,384,22584
CaptureTutorial,CaptureTutorial.cro,1,.rodata,24576,2632
CaptureTutorial,CaptureTutorial.cro,2,.data,41468,6204
CaptureTutorial,CaptureTutorial.cro,3,.bss,0,16
CaptureTutorial,CaptureTutorial.cro,0,.text,0,0
CharaViewer,CharaViewer.cro,0,.text,384,172
CharaViewer,CharaViewer.cro,1,.rodata,4096,0
CharaViewer,CharaViewer.cro,2,.data,4332,4
CharaViewer,CharaViewer.cro,0,.text,0,0
CharaViewer,CharaViewer.cro,0,.text,0,0
Config,Config.cro,0,.text,384,22032
Config,Config.cro,1,.rodata,24576,1120
Config,Config.cro,2,.data,43696,1656
Config,Config.cro,0,.text,0,0
Config,Config.cro,0,.text,0,0
Connection,Connection.cro,0,.text,384,26700
Connection,Connection.cro,1,.rodata,28672,3884
Connection,Connection.cro,2,.data,54472,136
Connection,Connection.cro,0,.text,0,0
Connection,Connection.cro,0,.text,0,0
DebugBattle,DebugBattle.cro,0,.text,384,172
DebugBattle,DebugBattle.cro,1,.rodata,4096,0
DebugBattle,DebugBattle.cro,2,.data,4332,4
DebugBattle,DebugBattle.cro,0,.text,0,0
DebugBattle,DebugBattle.cro,0,.text,0,0
DebugItemMake,DebugItemMake.cro,0,.text,384,172
DebugItemMake,DebugItemMake.cro,1,.rodata,4096,0
DebugItemMake,DebugItemMake.cro,2,.data,4336,4
DebugItemMake,DebugItemMake.cro,0,.text,0,0
DebugItemMake,DebugItemMake.cro,0,.text,0,0
DebugKeyboard,DebugKeyboard.cro,0,.text,384,172
DebugKeyboard,DebugKeyboard.cro,1,.rodata,4096,0
DebugKeyboard,DebugKeyboard.cro,2,.data,4336,4
DebugKeyboard,DebugKeyboard.cro,0,.text,0,0
DebugKeyboard,DebugKeyboard.cro,0,.text,0,0
DebugNumInput,DebugNumInput.cro,0,.text,384,172
DebugNumInput,DebugNumInput.cro,1,.rodata,4096,0
DebugNumInput,DebugNumInput.cro,2,.data,4336,4
DebugNumInput,DebugNumInput.cro,0,.text,0,0
DebugNumInput,DebugNumInput.cro,0,.text,0,0
DebugPokeMake,DebugPokeMake.cro,0,.text,384,172
DebugPokeMake,DebugPokeMake.cro,1,.rodata,4096,0
DebugPokeMake,DebugPokeMake.cro,2,.data,4336,4
DebugPokeMake,DebugPokeMake.cro,0,.text,0,0
DebugPokeMake,DebugPokeMake.cro,0,.text,0,0
DebugWordSet,DebugWordSet.cro,0,.text,384,172
DebugWordSet,DebugWordSet.cro,1,.rodata,4096,0
DebugWordSet,DebugWordSet.cro,2,.data,4336,4
DebugWordSet,DebugWordSet.cro,0,.text,0,0
DebugWordSet,DebugWordSet.cro,0,.text,0,0
DendouDemo,DendouDemo.cro,0,.text,384,20640
DendouDemo,DendouDemo.cro,1,.rodata,24576,1164
DendouDemo,DendouDemo.cro,2,.data,48640,116
DendouDemo,DendouDemo.cro,3,.bss,0,264
DendouDemo,DendouDemo.cro,0,.text,0,0
DrawUtilTextTest,DrawUtilTextTest.cro,0,.text,384,172
DrawUtilTextTest,DrawUtilTextTest.cro,1,.rodata,4096,0
DrawUtilTextTest,DrawUtilTextTest.cro,2,.data,4340,4
DrawUtilTextTest,DrawUtilTextTest.cro,0,.text,0,0
DrawUtilTextTest,DrawUtilTextTest.cro,0,.text,0,0
EggHatching,EggHatching.cro,0,.text,384,14776
EggHatching,EggHatching.cro,1,.rodata,16384,2020
EggHatching,EggHatching.cro,2,.data,34040,108
EggHatching,EggHatching.cro,0,.text,0,0
EggHatching,EggHatching.cro,0,.text,0,0
EndRoll,EndRoll.cro,0,.text,384,12068
EndRoll,EndRoll.cro,1,.rodata,16384,1544
EndRoll,EndRoll.cro,2,.data,32288,100
EndRoll,EndRoll.cro,0,.text,0,0
EndRoll,EndRoll.cro,0,.text,0,0
Evolution,Evolution.cro,0,.text,384,21392
Evolution,Evolution.cro,1,.rodata,24576,2620
Evolution,Evolution.cro,2,.data,46224,120
Evolution,Evolution.cro,0,.text,0,0
Evolution,Evolution.cro,0,.text,0,0
FieldBag,FieldBag.cro,0,.text,384,12472
FieldBag,FieldBag.cro,1,.rodata,16384,932
FieldBag,FieldBag.cro,2,.data,32624,228
FieldBag,FieldBag.cro,0,.text,0,0
FieldBag,FieldBag.cro,0,.text,0,0
FieldBattleInstEvent,FieldBattleInstEvent.cro,0,.text,384,5952
FieldBattleInstEvent,FieldBattleInstEvent.cro,1,.rodata,8192,616
FieldBattleInstEvent,FieldBattleInstEvent.cro,2,.data,18836,104
FieldBattleInstEvent,FieldBattleInstEvent.cro,0,.text,0,0
FieldBattleInstEvent,FieldBattleInstEvent.cro,0,.text,0,0
FieldDebug,FieldDebug.cro,0,.text,384,1904
FieldDebug,FieldDebug.cro,1,.rodata,4096,76
FieldDebug,FieldDebug.cro,2,.data,12020,152
FieldDebug,FieldDebug.cro,0,.text,0,0
FieldDebug,FieldDebug.cro,0,.text,0,0
FieldDemo,FieldDemo.cro,0,.text,384,2496
FieldDemo,FieldDemo.cro,1,.rodata,4096,276
FieldDemo,FieldDemo.cro,2,.data,12660,68
FieldDemo,FieldDemo.cro,0,.text,0,0
FieldDemo,FieldDemo.cro,0,.text,0,0
FieldGimmickBattleInst,FieldGimmickBattleInst.cro,0,.text,384,10616
FieldGimmickBattleInst,FieldGimmickBattleInst.cro,1,.rodata,12288,448
FieldGimmickBattleInst,FieldGimmickBattleInst.cro,2,.data,24608,148
FieldGimmickBattleInst,FieldGimmickBattleInst.cro,0,.text,0,0
FieldGimmickBattleInst,FieldGimmickBattleInst.cro,0,.text,0,0
FieldGimmickJoinFesta,FieldGimmickJoinFesta.cro,0,.text,384,3712
FieldGimmickJoinFesta,FieldGimmickJoinFesta.cro,1,.rodata,4096,212
FieldGimmickJoinFesta,FieldGimmickJoinFesta.cro,2,.data,14208,136
FieldGimmickJoinFesta,FieldGimmickJoinFesta.cro,0,.text,0,0
FieldGimmickJoinFesta,FieldGimmickJoinFesta.cro,0,.text,0,0
FieldGimmickJoinFestaRoom,FieldGimmickJoinFestaRoom.cro,0,.text,384,3404
FieldGimmickJoinFestaRoom,FieldGimmickJoinFestaRoom.cro,1,.rodata,4096,216
FieldGimmickJoinFestaRoom,FieldGimmickJoinFestaRoom.cro,2,.data,13876,136
FieldGimmickJoinFestaRoom,FieldGimmickJoinFestaRoom.cro,0,.text,0,0
FieldGimmickJoinFestaRoom,FieldGimmickJoinFestaRoom.cro,0,.text,0,0
FieldGimmickLift,FieldGimmickLift.cro,0,.text,384,3924
FieldGimmickLift,FieldGimmickLift.cro,1,.rodata,8192,208
FieldGimmickLift,FieldGimmickLift.cro,2,.data,17356,136
FieldGimmickLift,FieldGimmickLift.cro,0,.text,0,0
FieldGimmickLift,FieldGimmickLift.cro,0,.text,0,0
FieldGimmickPokecen,FieldGimmickPokecen.cro,0,.text,384,10624
FieldGimmickPokecen,FieldGimmickPokecen.cro,1,.rodata,12288,876
FieldGimmickPokecen,FieldGimmickPokecen.cro,2,.data,26872,156
FieldGimmickPokecen,FieldGimmickPokecen.cro,0,.text,0,0
FieldGimmickPokecen,FieldGimmickPokecen.cro,0,.text,0,0
FieldMenu,FieldMenu.cro,0,.text,384,74884
FieldMenu,FieldMenu.cro,1,.rodata,77824,5420
FieldMenu,FieldMenu.cro,2,.data,126496,576
FieldMenu,FieldMenu.cro,0,.text,0,0
