entry,end,size,name,qualified_name,namespace,symbol_source,signature_source,signature,is_thunk,thunk_target,body_sha256,mnemonic_sha256,instruction_count,memory_block
00000218,00000218,1,"FUN_00000218","FUN_00000218","Global",DEFAULT,ANALYSIS,"undefined __stdcall FUN_00000218(void)",false,"",cbe5cfdf7c2118a9c3d78ef1d684f3afa089201352886449a06a6511cfef74a7,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,"tables"
000219b4,000219b4,1,"FUN_000219b4","FUN_000219b4","Global",DEFAULT,ANALYSIS,"undefined __stdcall FUN_000219b4(int param_1, char param_2, int param_3, int param_4)",false,"",6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,"tables"
00100024,0010003f,28,"FUN_00100024","FUN_00100024","Global",DEFAULT,ANALYSIS,"undefined __stdcall FUN_00100024(void)",false,"",feb562584d6521aa411390c66cf8bd3549784ddd3376bd8e916c2808b4efa19e,080ccdd7937eda5eefb4b3a20ca69c1dab9580399156fafdf0ea104285147b85,7,".text"
00100050,00100071,34,"__aeabi_vec_ctor_nocookie_nodtor","__aeabi_vec_ctor_nocookie_nodtor","Global",ANALYSIS,ANALYSIS,"int __stdcall __aeabi_vec_ctor_nocookie_nodtor(int param_1, undefined * param_2, int param_3, int param_4)",false,"",897f0c9729d5648e56c58ce2cf310343b4b95613959e2d8b054b574b38601474,3083fde8e7e711753639ecc6d698426f70ddf4bec77c4eed9f12085e208c59c7,17,".text"
00100074,0010007b,8,"thunk_FUN_0010007c","thunk_FUN_0010007c","Global",DEFAULT,ANALYSIS,"undefined __stdcall thunk_FUN_0010007c(undefined4 param_1, int param_2)",true,"0010007c",68f73b58dbc3836dedbbf8b786ecbfe271f691d62b4015ac06f48b31f65d097c,71d318a7e87c506e25ce254945de28646b747ed384e2cccf0629c118e67e73f9,2,".text"
0010007c,0010008d,18,"FUN_0010007c","FUN_0010007c","Global",DEFAULT,ANALYSIS,"undefined __stdcall FUN_0010007c(undefined4 param_1, int param_2)",false,"",4e42cfd1c973e68ecb530fcc06220fe745fac38f2fa863411a8e92824bfb2ff2,78772f9dce60638350554fcbf1317d66809034647d514c0525fca153e656ba2c,8,".text"
001000c4,00100105,66,"FUN_001000c4","FUN_001000c4","Global",DEFAULT,ANALYSIS,"undefined4 * __stdcall FUN_001000c4(void)",false,"",e764690a3d4a94959b6a70df118355b5d507ce063368c698c1c5a368c541f170,86aefd6a1b0052a9b49f7b70b62c923c0066668907d3473c85ab164d6ef398d6,29,".text"
00100114,00100147,52,"FUN_00100114","FUN_00100114","Global",DEFAULT,ANALYSIS,"uint __stdcall FUN_00100114(void)",false,"",6d741f749187f99e200575f4383efb0e0b8685eee3aea4585f60739cb298e879,f6afe7ed96ebb4fbd7477ac5296c44fc94becee8dee1c6031850c013d38f066d,26,".text"
0010014c,0010014d,2,"FUN_0010014c","FUN_0010014c","Global",DEFAULT,ANALYSIS,"undefined __stdcall FUN_0010014c(void)",false,"",c7dfbb7d02759eacb64dbc916c1bb6f21eabaff1c1032ea5c9176abf7fd28df8,ff304d19e8233ac9117fef9eb247a8fb4751f5f6a6237a41ccc13440f8c6cda4,1,".text"
00100150,00100169,26,"FUN_00100150","FUN_00100150","Global",DEFAULT,ANALYSIS,"int __stdcall FUN_00100150(int param_1)",false,"",930acb8a12597916dfc86d14d790c3c329e352f16450d94c02049276fc284e8e,992eab39e3900be562a875d687dc832a668e0737675d01b0eede4102963f960b,12,".text"
0010016a,00100187,30,"FUN_0010016a","FUN_0010016a","Global",DEFAULT,ANALYSIS,"int __stdcall FUN_0010016a(int param_1)",false,"",f2551cf30af01d5033fd43c9392c6ae07be40c534ffc354b3b37b53f76293f46,2ba544e3a41620d4a98f233d65eb0163bbd5002e68ee2afeff7638ac2e1d95a8,14,".text"
00100188,001001bd,54,"FUN_00100188","FUN_00100188","Global",DEFAULT,ANALYSIS,"undefined4 __stdcall FUN_00100188(int param_1, int param_2, undefined4 param_3, uint param_4)",false,"",281d1722707a7399ac4e9fe8a1f11ddb53dbe7e9842a966ad83f72d30b1f2e24,3a7b58952daf8303942868c714a8a80d50c59d24ace1aa7d3bc4b2c48f634663,25,".text"
001001c4,001001f5,50,"__c89vsnprintf","__c89vsnprintf","Global",ANALYSIS,ANALYSIS,"undefined4 __stdcall __c89vsnprintf(int param_1, int param_2, undefined4 param_3, uint * param_4)",false,"",f7467558bf2d7941cde26cbd96071c4626b1f58405418a9d9db555d850fc4792,807cb3682843422a47914de96dd44ad4af543b91c2447848b6da8693aad087d7,23,".text"
001001fc,0010023f,68,"FUN_001001fc","FUN_001001fc","Global",DEFAULT,ANALYSIS,"uint __stdcall FUN_001001fc(int param_1, uint param_2, undefined4 param_3, uint * param_4)",false,"",ceccd91ef3ef5399b2f04587337ed636e3aedc35935d6a3c5a79d54189bbbf42,fcd9df1cc12cf07d421276b4e8df95c221cabb55212f8ddc3ea4a7f6e5078648,32,".text"
