address,name,qualified_name,namespace,symbol_type,source,is_primary,is_external,classification
00000001,"DAT_00000001","DAT_00000001","Global",Label,DEFAULT,true,false,Label
00000002,"DAT_00000001+1","DAT_00000001+1","Global",Label,DEFAULT,true,false,Label
00000003,"DAT_00000001+2","DAT_00000001+2","Global",Label,DEFAULT,true,false,Label
00000004,"DAT_00000001+3","DAT_00000001+3","Global",Label,DEFAULT,true,false,Label
00000005,"DAT_00000005","DAT_00000005","Global",Label,DEFAULT,true,false,Label
00000006,"DAT_00000006","DAT_00000006","Global",Label,DEFAULT,true,false,Label
00000007,"DAT_00000006+1","DAT_00000006+1","Global",Label,DEFAULT,true,false,Label
00000008,"DAT_00000006+2","DAT_00000006+2","Global",Label,DEFAULT,true,false,Label
00000009,"DAT_00000006+3","DAT_00000006+3","Global",Label,DEFAULT,true,false,Label
0000000a,"DAT_0000000a","DAT_0000000a","Global",Label,DEFAULT,true,false,Label
0000000b,"DAT_0000000b","DAT_0000000b","Global",Label,DEFAULT,true,false,Label
0000000c,"SUB_0000000c","SUB_0000000c","Global",Label,DEFAULT,true,false,Label
0000000d,"DAT_0000000d","DAT_0000000d","Global",Label,DEFAULT,true,false,Label
0000000e,"DAT_0000000d+1","DAT_0000000d+1","Global",Label,DEFAULT,true,false,Label
00000010,"SUB_0000000d+3","SUB_0000000d+3","Global",Label,DEFAULT,true,false,Label
00000011,"DAT_00000011","DAT_00000011","Global",Label,DEFAULT,true,false,Label
00000012,"DAT_00000012","DAT_00000012","Global",Label,DEFAULT,true,false,Label
00000013,"DAT_00000013","DAT_00000013","Global",Label,DEFAULT,true,false,Label
00000014,"DAT_00000014","DAT_00000014","Global",Label,DEFAULT,true,false,Label
00000015,"DAT_00000014+1","DAT_00000014+1","Global",Label,DEFAULT,true,false,Label
00000016,"DAT_00000014+2","DAT_00000014+2","Global",Label,DEFAULT,true,false,Label
00000019,"DAT_00000019","DAT_00000019","Global",Label,DEFAULT,true,false,Label
0000001a,"DAT_00000019+1","DAT_00000019+1","Global",Label,DEFAULT,true,false,Label
0000001b,"DAT_00000019+2","DAT_00000019+2","Global",Label,DEFAULT,true,false,Label
0000001d,"DAT_0000001d","DAT_0000001d","Global",Label,DEFAULT,true,false,Label
0000001f,"DAT_0000001f","DAT_0000001f","Global",Label,DEFAULT,true,false,Label
00000020,"DAT_0000001f+1","DAT_0000001f+1","Global",Label,DEFAULT,true,false,Label
00000021,"DAT_0000001f+2","DAT_0000001f+2","Global",Label,DEFAULT,true,false,Label
00000022,"DAT_0000001f+3","DAT_0000001f+3","Global",Label,DEFAULT,true,false,Label
00000023,"DAT_00000023","DAT_00000023","Global",Label,DEFAULT,true,false,Label
00000024,"DAT_00000023+1","DAT_00000023+1","Global",Label,DEFAULT,true,false,Label
00000025,"DAT_00000023+2","DAT_00000023+2","Global",Label,DEFAULT,true,false,Label
00000026,"DAT_00000023+3","DAT_00000023+3","Global",Label,DEFAULT,true,false,Label
00000027,"DAT_00000027","DAT_00000027","Global",Label,DEFAULT,true,false,Label
00000028,"DAT_00000027+1","DAT_00000027+1","Global",Label,DEFAULT,true,false,Label
00000029,"DAT_00000027+2","DAT_00000027+2","Global",Label,DEFAULT,true,false,Label
0000002a,"DAT_00000027+3","DAT_00000027+3","Global",Label,DEFAULT,true,false,Label
0000002b,"DAT_0000002b","DAT_0000002b","Global",Label,DEFAULT,true,false,Label
0000002c,"DAT_0000002c","DAT_0000002c","Global",Label,DEFAULT,true,false,Label
0000002e,"DAT_0000002e","DAT_0000002e","Global",Label,DEFAULT,true,false,Label
0000002f,"DAT_0000002e+1","DAT_0000002e+1","Global",Label,DEFAULT,true,false,Label
00000030,"DAT_0000002e+2","DAT_0000002e+2","Global",Label,DEFAULT,true,false,Label
00000031,"DAT_0000002e+3","DAT_0000002e+3","Global",Label,DEFAULT,true,false,Label
00000032,"DAT_00000032","DAT_00000032","Global",Label,DEFAULT,true,false,Label
00000033,"DAT_00000033","DAT_00000033","Global",Label,DEFAULT,true,false,Label
00000034,"DAT_00000034","DAT_00000034","Global",Label,DEFAULT,true,false,Label
00000035,"DAT_00000035","DAT_00000035","Global",Label,DEFAULT,true,false,Label
00000039,"DAT_00000039","DAT_00000039","Global",Label,DEFAULT,true,false,Label
0000003a,"DAT_0000003a","DAT_0000003a","Global",Label,DEFAULT,true,false,Label
00000040,"DAT_00000040","DAT_00000040","Global",Label,DEFAULT,true,false,Label
00000041,"DAT_00000040+1","DAT_00000040+1","Global",Label,DEFAULT,true,false,Label
00000044,"DAT_00000044","DAT_00000044","Global",Label,DEFAULT,true,false,Label
00000048,"DAT_00000048","DAT_00000048","Global",Label,DEFAULT,true,false,Label
00000049,"DAT_00000049","DAT_00000049","Global",Label,DEFAULT,true,false,Label
0000004b,"DAT_0000004b","DAT_0000004b","Global",Label,DEFAULT,true,false,Label
0000004c,"DAT_0000004b+1","DAT_0000004b+1","Global",Label,DEFAULT,true,false,Label
0000004f,"DAT_0000004f","DAT_0000004f","Global",Label,DEFAULT,true,false,Label
00000051,"DAT_0000004f+2","DAT_0000004f+2","Global",Label,DEFAULT,true,false,Label
00000059,"DAT_00000059","DAT_00000059","Global",Label,DEFAULT,true,false,Label
0000005b,"DAT_0000005b","DAT_0000005b","Global",Label,DEFAULT,true,false,Label
00000061,"DAT_00000061","DAT_00000061","Global",Label,DEFAULT,true,false,Label
00000066,"DAT_00000066","DAT_00000066","Global",Label,DEFAULT,true,false,Label
00000069,"DAT_00000069","DAT_00000069","Global",Label,DEFAULT,true,false,Label
00000071,"DAT_00000071","DAT_00000071","Global",Label,DEFAULT,true,false,Label
00000073,"DAT_00000073","DAT_00000073","Global",Label,DEFAULT,true,false,Label
